,website,title,browseDate,Categories
54,grad.berkeley.edu,Information Science PhD - Berkeley Graduate Division,2024-12-03,Education
55,mail.google.com,The University of Chicago Mail,2024-12-03,Email
56,drive.google.com,My Drive - Google Drive,2024-12-03,Storage
57,www.gradescope.com,DATA 31500 1 Data Interaction Dashboard | Gradescope,2024-12-02,Education
58,canvas.uchicago.edu,Grades for Ram Kripa: BUSN 34103 01 (Autumn 2024) Building the New Venture,2024-12-03,Education
59,www.uchicago.edu,Academic Calendar | University of Chicago,2024-12-03,University
60,ais92psprd.ais.uchicago.edu,View Unofficial Transcript,2024-12-03,University Portal
61,www.cnet.com,"CNET: Product reviews, advice, how-tos and the latest news",2024-12-03,Technology News
62,ais92psprd.ais.uchicago.edu,View Unofficial Transcript,2024-12-03,University Portal
63,www.gradescope.com,DATA 31500 1 Data Interaction Dashboard | Gradescope,2024-12-02,Education
64,www.cnet.com,Jaguar Type 00: Everything You Need to Know About the Car Everyone Is Talking About - CNET,2024-12-03,Technology News
65,www.gradescope.com,DATA 31500 1 Data Interaction Dashboard | Gradescope,2024-12-02,Education
66,accounts.google.com,Sign in - Google Accounts,2024-12-03,Authentication
67,www.google.com,lincoln lawyer - Google Search,2024-12-03,Search
68,us-east-2.signin.aws.amazon.com,Amazon Web Services Sign-In,2024-12-02,Cloud Services
69,mail.google.com,Gmail,2024-12-03,Email
70,gradapp.berkeley.edu,GPA,2024-12-03,Education
71,app.netlify.com,rammkripa | Netlify,2024-12-02,Development
72,github.com,Continue setting up the Netlify integration,2024-12-02,Development
73,canvas.uchicago.edu,Dashboard,2024-12-03,Education
74,papayaverse.github.io,Privacy Onboarding,2024-12-03,Privacy Project
75,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
76,devpost.com,Devpost,2024-12-02,Hackathons
77,papayaverse.github.io,Privacy Onboarding,2024-12-02,Privacy Project
78,calendar.google.com,Google Calendar,2024-12-03,Calendar
79,docs.google.com,BNV Fall 2024 - Final Point Peer Evaluation,2024-12-03,Collaboration
80,canvas.uchicago.edu,CMSC 23218 1 (Autumn 2024) Surveillance Aesthetics: Provocations About Privacy and Security in the Digital Age,2024-12-03,Education
81,mail.google.com,Gmail,2024-12-03,Email
82,canvas.uchicago.edu,Dashboard,2024-12-03,Education
83,devpost.com,Devpost,2024-12-02,Hackathons
84,portal.uchicago.edu,my.UChicago,2024-12-03,University
85,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
86,www.cnet.com,"CNET: Product reviews, advice, how-tos and the latest news",2024-12-03,Technology News
87,drive.google.com,Home - Google Drive,2024-12-02,Storage
88,www.google.com,what is my gpa if i have 5 as and 2 a minuses - Google Search,2024-12-03,Search
89,www.ischool.berkeley.edu,Ph.D. Admissions | UC Berkeley School of Information,2024-12-03,Education
90,ais92hbprd.ais.uchicago.edu,,2024-12-03,University Portal
91,www.gradescope.com,View Submission | Gradescope,2024-12-02,Education
92,docs.google.com,Stanford SoP - Google Docs,2024-12-02,Collaboration
93,drive.google.com,Home - Google Drive,2024-12-02,Storage
94,docs.google.com,BNV Fall 2024 - Final Point Peer Evaluation,2024-12-03,Collaboration
95,www.google.com,cookie banners - Google Search,2024-12-02,Search
96,www.overleaf.com,"Restricted - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
97,us-east-2.console.aws.amazon.com,papaya-data-bucket - S3 bucket | S3 | us-east-2,2024-12-02,Cloud Services
98,docs.google.com,Untitled presentation - Google Slides,2024-12-02,Collaboration
99,github.com,kalealex/data315-au24: Course website for DATA 31500 1 (Autumn 2024) Data Interaction,2024-12-02,Development
100,uchicago.okta.com,UChicago - Sign In,2024-12-03,Authentication
101,yourdatastory.netlify.app,Papaya Privacy: Your Data Story,2024-12-02,Privacy Project
102,raulcastrofernandez.com,Schedule | CMSC-33580-1,2024-12-03,Personal Site
103,api-322c2749.duosecurity.com,Duo Security,2024-12-03,Security
104,www.goal.com,"Soccer News, Live Scores, Results & Transfers | Goal.com US",2024-12-03,Sports News
105,drive.google.com,My Drive - Google Drive,2024-12-02,Storage
106,us-east-2.console.aws.amazon.com,papaya-data-bucket - S3 bucket | S3 | us-east-2,2024-12-02,Cloud Services
107,api-6b447a0c.duosecurity.com,Duo Security,2024-12-03,Security
108,www.bulgari.com,"Fine Italian Jewelry, Watches and Luxury Goods | BVLGARI Official Store United States",2024-12-03,Luxury
109,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
110,docs.google.com,Copy of Proposal - Google Docs,2024-12-02,Collaboration
111,docs.google.com,Final Report - Google Docs,2024-12-02,Collaboration
112,canvas.uchicago.edu,Dashboard,2024-12-03,Education
113,docs.google.com,Personal Statement - Google Docs,2024-12-02,Collaboration
114,canvas.uchicago.edu,Class 9 Preparation POV: BUSN 34103 01 (Autumn 2024) Building the New Venture,2024-12-03,Education
115,ais92hbprd.ais.uchicago.edu,Employee-facing registry content,2024-12-03,University Portal
116,gradapp.berkeley.edu,Recommendations,2024-12-03,Education
117,signin.aws.amazon.com,Amazon Web Services Sign-In,2024-12-02,Cloud Services
118,gradapp.berkeley.edu,Payment / Fee Waiver,2024-12-03,Education
119,en.wikipedia.org,The Gods of Guilt - Wikipedia,2024-12-03,Knowledge Base
120,www.goal.com,"Lionel Messi, Ronaldo and Luis Suarez, all in the same attack? The five best FIFPRO Men's World 11s ever assembled - ranked | Goal.com US",2024-12-03,Sports News
121,www.netflix.com,Netflix,2024-12-02,Streaming
122,mail.google.com,Gmail,2024-12-03,Email
123,docs.google.com,Untitled document - Google Docs,2024-12-02,Collaboration
124,dl.acm.org,User Tracking in the Post-cookie Era: How Websites Bypass GDPR Consent to Track Users | Proceedings of the Web Conference 2021,2024-12-02,Research
125,drive.google.com,My Drive - Google Drive,2024-12-02,Storage
126,www.netflix.com,Netflix,2024-12-02,Streaming
127,www.overleaf.com,"Restricted - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
128,www.google.com,hello - Google Search,2024-12-02,Search
129,portal.aws.amazon.com,AWS Console - Signup,2024-12-03,Cloud Services
130,gradapp.berkeley.edu,Employment History,2024-12-03,Education
131,canvas.uchicago.edu,Canvas LMS,2024-12-03,Education
132,en.wikipedia.org,The Brass Verdict - Wikipedia,2024-12-03,Knowledge Base
133,www.goal.com,"Soccer News, Live Scores, Results & Transfers | Goal.com US",2024-12-03,Sports News
134,us-east-2.console.aws.amazon.com,AWS Management Console,2024-12-03,Cloud Services
135,devpost.com,Devpost,2024-12-02,Hackathons
136,github.com,rammkripa/data_interaction_final,2024-12-02,Development
137,mail.google.com,The University of Chicago Mail,2024-12-03,Email
138,portal.uchicago.edu,my.UChicago,2024-12-03,University
139,devpost.com,Papaya CookieMonster | Devpost,2024-12-02,Hackathons
140,us-east-2.console.aws.amazon.com,papaya-data-bucket - S3 bucket | S3 | us-east-2,2024-12-02,Cloud Services
141,www.goal.com,Ruud van Nistelrooy 'hurt' and 'disappointed' by enforced Man Utd exit as new Leicester boss opens up on 'man to man' conversation with Ruben Amorim | Goal.com US,2024-12-03,Sports News
142,devpost.com,Papaya CookieMonster | Devpost,2024-12-02,Hackathons
143,api-6b447a0c.duosecurity.com,Duo Security,2024-12-03,Security
144,mail.google.com,The University of Chicago Mail,2024-12-03,Email
145,www.overleaf.com,"Log in to Overleaf - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
146,docs.google.com,Personal Statement - Google Docs,2024-12-02,Collaboration
147,www.google.com,uchicago academic calendar - Google Search,2024-12-03,Search
148,www.overleaf.com,Online LaTeX Editor Overleaf,2024-12-03,Collaboration
149,googlechromeai.devpost.com,Google Chrome Built-in AI Challenge: Develop a web application or Chrome Extension that uses one or more Chrome built-in AI APIs to interact with integrated models such as Gemini Nano. - Devpost,2024-12-02,Hackathons
150,uchicago.okta.com,UChicago - Signing in...,2024-12-03,Authentication
151,www.google.com,cookie banners - Google Search,2024-12-02,Search
152,github.com,rammkripa/data_interaction_final,2024-12-02,Development
153,canvas.uchicago.edu,Dashboard,2024-12-03,Education
154,www.netflix.com,Netflix,2024-12-03,Streaming
155,devpost.com,Devpost,2024-12-02,Hackathons
156,www.gradescope.com,Select Pages for Project - Write up | Gradescope,2024-12-02,Education
157,canvas.uchicago.edu,Dashboard,2024-12-03,Education
158,studio.youtube.com,YouTube Creator Studio,2024-12-03,Video Sharing
159,googlechromeai.devpost.com,Google Chrome Built-in AI Challenge: Develop a web application or Chrome Extension that uses one or more Chrome built-in AI APIs to interact with integrated models such as Gemini Nano. - Devpost,2024-12-03,Hackathons
160,www.google.com,aarhus university 2021 cookie banner study - Google Search,2024-12-02,Search
161,docs.google.com,Final Presentation - Google Slides,2024-12-02,Collaboration
162,www.youtube.com,YouTube,2024-12-03,Entertainment
163,stackoverflow.com,How to use local static images in Svelte - Stack Overflow,2024-12-02,Development
164,cookie-monster-preferences-api-499c0307911c.herokuapp.com,FastAPI - Swagger UI,2024-12-02,Privacy API
165,github.com,data315-au24/coursework/assignment1.pdf at main · kalealex/data315-au24,2024-12-03,Development
166,www.goal.com,"Soccer News, Live Scores, Results & Transfers | Goal.com US",2024-12-03,Sports News
167,us-east-2.console.aws.amazon.com,papaya-data-bucket - S3 bucket | S3 | us-east-2,2024-12-02,Cloud Services
168,www.google.com,story - Google Search,2024-12-02,Search
169,bcsweb.is.berkeley.edu,,2024-12-03,University Portal
170,discord.com,Discord,2024-12-03,Communication
171,gradapp.berkeley.edu,Supporting Materials,2024-12-03,Education
172,chatgpt.com,ChatGPT,2024-12-02,AI
173,docs.google.com,DATA 315 Presentations - Google Docs,2024-12-03,Collaboration
174,canvas.uchicago.edu,Class 9 Preparation POV: BUSN 34103 01 (Autumn 2024) Building the New Venture,2024-12-03,Education
175,docs.google.com,BNV Fall 2024 - Final Point Peer Evaluation,2024-12-03,Collaboration
176,www.gradescope.com,View Submission | Gradescope,2024-12-02,Education
177,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-03,Collaboration
178,accounts.google.com,Chrome Web Store,2024-12-02,Authentication
179,yourdatastory.netlify.app,Papaya Privacy: Your Data Story,2024-12-02,Privacy Project
180,www.linkedin.com,(1) Danni Liu | LinkedIn,2024-12-03,Professional Network
181,www.google.com,how does attorney client privilege work - Google Search,2024-12-02,Search
182,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
183,docs.google.com,Google Chrome Built-in AI Challenge Feedback Submission Form,2024-12-03,Collaboration
184,www.goal.com,"Soccer News, Live Scores, Results & Transfers | Goal.com US",2024-12-03,Sports News
185,www.linkedin.com,(3) Ram Mukund Kripa | LinkedIn,2024-12-03,Professional Network
186,canvas.uchicago.edu,Assignments: BUSN 34103 01 (Autumn 2024) Building the New Venture,2024-12-03,Education
187,www.google.com,Week to week retention - Google Search,2024-12-02,Search
188,github.com,Installing Netlify,2024-12-02,Development
189,www.google.com,how does attorney client privelge work - Google Search,2024-12-02,Search
190,docs.pydantic.dev,Datetimes - Pydantic,2024-12-02,Documentation
191,docs.google.com,Final Report - Google Docs,2024-12-02,Collaboration
192,www.google.com,bulgari - Google Search,2024-12-03,Search
193,dashboard.heroku.com,Heroku,2024-12-02,Development
194,drive.google.com,Folder - Google Drive,2024-12-02,Storage
195,en.wikipedia.org,The Fifth Witness - Wikipedia,2024-12-03,Knowledge Base
196,us-east-2.console.aws.amazon.com,AWS Management Console,2024-12-02,Cloud Services
197,docs.google.com,Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
198,docs.google.com,Final Presentation - Google Slides,2024-12-02,Collaboration
199,gradapp.berkeley.edu,Information Program,2024-12-03,Education
200,drive.google.com,Home - Google Drive,2024-12-03,Storage
201,drive.google.com,My Drive - Google Drive,2024-12-03,Storage
202,chatgpt.com,ChatGPT,2024-12-03,AI
203,gradapp.berkeley.edu,Statements,2024-12-03,Education
204,chatgpt.com,ChatGPT,2024-12-02,AI
205,calcentral.berkeley.edu,CalCentral,2024-12-03,University Portal
206,gradapp.berkeley.edu,Information Program,2024-12-03,Education
207,googlechromeai.devpost.com,Google Chrome Built-in AI Challenge: Develop a web application or Chrome Extension that uses one or more Chrome built-in AI APIs to interact with integrated models such as Gemini Nano. - Devpost,2024-12-02,Hackathons
208,gradapp.berkeley.edu,Biographical Information,2024-12-03,Education
209,gradapp.berkeley.edu,Academic History,2024-12-03,Education
210,raulcastrofernandez.com,,2024-12-03,Personal Site
211,www.goal.com,"Football News, Live Scores, Results & Transfers | Goal.com India",2024-12-03,Sports News
212,www.google.com,bvgari - Google Search,2024-12-02,Search
213,lite.evernote.com,Evernote Web,2024-12-03,Note-taking
214,gradapp.berkeley.edu,GPA,2024-12-03,Education
215,bcsweb.is.berkeley.edu,Homepage,2024-12-03,University Portal
216,mail.google.com,The University of Chicago Mail,2024-12-03,Email
217,mail.google.com,Gmail,2024-12-03,Email
218,canvas.uchicago.edu,Grades for Ram Kripa: BUSN 34103 01 (Autumn 2024) Building the New Venture,2024-12-03,Education
219,www.google.com,survey what percent of people care about privacy - Google Search,2024-12-03,Search
220,accounts.google.com,Sign in - Google Accounts,2024-12-03,Authentication
221,signin.aws.amazon.com,Amazon Web Services Sign-In,2024-12-02,Cloud Services
222,mail.google.com,Gmail,2024-12-03,Email
223,drive.google.com,My Drive - Google Drive,2024-12-02,Storage
224,en.wikipedia.org,The Lincoln Lawyer - Wikipedia,2024-12-03,Knowledge Base
225,api-6b447a0c.duosecurity.com,Duo Security - Two-Factor Authentication,2024-12-03,Security
226,www.cnet.com,"CNET: Product reviews, advice, how-tos and the latest news",2024-12-03,Technology News
227,docs.google.com,DATA 315 Presentations - Google Docs,2024-12-03,Collaboration
228,gradapp.berkeley.edu,Login,2024-12-03,Education
229,dashboard.heroku.com,Heroku,2024-12-02,Development
230,gradapp.berkeley.edu,Academic History,2024-12-03,Education
231,drive.google.com,Home - Google Drive,2024-12-03,Storage
232,api-322c2749.duosecurity.com,Duo Security - Two-Factor Authentication,2024-12-03,Security
233,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
234,mail.google.com,Gmail,2024-12-02,Email
235,gradapp.berkeley.edu,Personal Background,2024-12-03,Education
236,www.overleaf.com,,2024-12-03,Collaboration
237,www.pewresearch.org,"How Americans View Data Privacy: Tech Companies, AI, Regulation, Passwords and Policies | Pew Research Center",2024-12-03,Research
238,ais92hbprd.ais.uchicago.edu,Employee-facing registry content,2024-12-03,University Portal
239,docs.google.com,Proposal - Google Docs,2024-12-02,Collaboration
240,www.google.com,what is my gpa if i have 5 as and 1 b - Google Search,2024-12-03,Search
241,drive.google.com,My Drive - Google Drive,2024-12-02,Storage
242,www.netflix.com,Netflix,2024-12-02,Streaming
243,www.goal.com,Manchester United Overview,2024-12-03,Sports News
244,www.google.com,jaguar - Google Search,2024-12-03,Search
245,drive.google.com,Home - Google Drive,2024-12-02,Storage
246,calcentral.berkeley.edu,CalCentral,2024-12-03,University Portal
247,www.theverge.com,The Verge,2024-12-03,Technology News
248,chatgpt.com,ChatGPT,2024-12-03,AI
249,www.google.com,how to insert image in svelte d3/html - Google Search,2024-12-02,Search
250,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
251,www.goal.com,"Football News, Live Scores, Results & Transfers | Goal.com India",2024-12-02,Sports News
252,yourdatastory.netlify.app,Papaya Privacy: Your Data Story,2024-12-02,Privacy Project
253,app.netlify.com,Deploys | euphonious-malabi-69cd6b | Netlify,2024-12-02,Development
254,docs.google.com,Google Docs,2024-12-02,Collaboration
255,grad.berkeley.edu,Graduate Programs & Deadlines to Apply - Berkeley Graduate Division,2024-12-03,Education
256,raulcastrofernandez.com,,2024-12-03,Personal Site
257,www.goal.com,Marcus Rashford's new-manager bounce is nothing new - but Ruben Amorim is showing he can permanently unlock Man Utd's enigmatic attacker | Goal.com US,2024-12-03,Sports News
258,papayaverse.github.io,Privacy Onboarding,2024-12-02,Privacy Project
259,www.google.com,danni liu - Google Search,2024-12-03,Search
260,docs.google.com,Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
261,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-03,Collaboration
262,docs.google.com,Untitled document - Google Docs,2024-12-02,Collaboration
263,drive.google.com,Home - Google Drive,2024-12-02,Storage
264,github.com,rammkripa/data_interaction_final,2024-12-02,Development
265,en.wikipedia.org,The Lincoln Lawyer (TV series) - Wikipedia,2024-12-03,Knowledge Base
266,www.gradescope.com,View Submission | Gradescope,2024-12-02,Education
267,www.google.com,chrome user agent - Google Search,2024-12-03,Search
268,chatgpt.com,ChatGPT,2024-12-02,AI
269,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
270,chatgpt.com,ChatGPT,2024-12-02,AI
271,docs.google.com,Untitled document - Google Docs,2024-12-02,Collaboration
272,developer.chrome.com,Origin Trials,2024-12-02,Developer Tools
273,www.gradescope.com,Your Courses | Gradescope,2024-12-02,Education
274,www.overleaf.com,"Log in to Overleaf - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
275,www.goal.com,Marcus Rashford's new-manager bounce is nothing new - but Ruben Amorim is showing he can permanently unlock Man Utd's enigmatic attacker | Goal.com India,2024-12-03,Sports News
276,docs.google.com,Papaya Privacy Co. - Google Slides,2024-12-03,Collaboration
277,github.com,rammkripa (Ram Kripa),2024-12-02,Development
278,www.goal.com,"Football News, Live Scores, Results & Transfers | Goal.com India",2024-12-03,Sports News
279,www.gradescope.com,Your Courses | Gradescope,2024-12-02,Education
280,cookie-monster-preferences-api-499c0307911c.herokuapp.com,FastAPI - Swagger UI,2024-12-02,Privacy API
281,www.google.com,aarhus university - Google Search,2024-12-02,Search
282,www.google.com,aarhus university 2021 cookie banner 90.7 accept - Google Search,2024-12-02,Search
283,devpost.com,Devpost,2024-12-03,Hackathons
284,yourdatastory.netlify.app,Papaya Privacy: Your Data Story,2024-12-03,Privacy Project
285,mail.google.com,Gmail,2024-12-03,Email
286,api.netlify.com,Netlify Authorization,2024-12-02,API Services
287,drive.google.com,Berkeley Materials - Google Drive,2024-12-02,Storage
288,gradapp.berkeley.edu,Educational Background,2024-12-03,Education
289,www.papayaverse.com,Home | Papayaverse,2024-12-02,Privacy Project
290,gradapp.berkeley.edu,Economic Background,2024-12-03,Education
291,gradapp.berkeley.edu,Self-Reported Exam Scores,2024-12-03,Education
292,drive.google.com,Home - Google Drive,2024-12-02,Storage
293,mail.google.com,Gmail,2024-12-03,Email
294,www.gradescope.com,Your Courses | Gradescope,2024-12-02,Education
295,forms.gle,,2024-12-03,Forms
296,gradapp.berkeley.edu,Application Instructions,2024-12-03,Education
297,canvas.uchicago.edu,Canvas LMS,2024-12-03,Education
298,docs.google.com,Berkeley SoP - Google Docs,2024-12-02,Collaboration
299,docs.google.com,Personal Statement - Google Docs,2024-12-02,Collaboration
300,www.theverge.com,Jaguar’s bizarre rebranding continues with the Type 00 concept electric car - The Verge,2024-12-03,Technology News
301,www.netflix.com,Netflix,2024-12-02,Streaming
302,en.wikipedia.org,The Lincoln Lawyer - Wikipedia,2024-12-03,Knowledge Base
303,gradapp.berkeley.edu,Viewer,2024-12-03,Education
304,drive.google.com,Berkeley Materials - Google Drive,2024-12-02,Storage
305,www.google.com,chrome users total - Google Search,2024-12-03,Search
306,drive.google.com,My Drive - Google Drive,2024-12-02,Storage
307,www.overleaf.com,"Your Projects - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
308,ais92hbprd.ais.uchicago.edu,My Academics,2024-12-03,University Portal
309,courses.uchicago.edu,Courses at UChicago | Digital tools for teaching and learning,2024-12-03,University
310,docs.google.com,Google Chrome Built-in AI Challenge Feedback Submission Form,2024-12-03,Collaboration
311,www.google.com,story book icon - Google Search,2024-12-02,Search
312,bcsweb.is.berkeley.edu,Academics,2024-12-03,University Portal
313,www.google.com,jaguar - Google Search,2024-12-03,Search
